MODEL,VENDOR,MODEL_GSM,YEAR_RELEASED_GSM,MONTH_RELEASED_GSM,TIME_RELEASED_GSM,PRICE_RELEASED_GSM,DIAGONAL_SCREEN_SIZE_GSM,DETAIL_NAME_GSM
sm-g925,samsung,galaxy s6 edge (usa),2015,4,2015.25,600,5.1,"also known as samsung galaxy s6 edge g925
versions: g925p (sprint), g925r (us cellular), g925v (verizon), g925w8 (canada)"
sm-n9005,samsung,galaxy note 3,2013,9,2013.666667,420,5.7,"versions: n9000 (3g); n9005 (3g/lte)
also known as samsung galaxy note iii; samsung galaxy note 3 n9002 with dual-sim card slots"
sm-j510,samsung,galaxy j5 (2016),2016,4,2016.25,250,5.2,"versions: j510fn (europe); j510f (hk, india, south africa, thailand); j510g (malaysia, indonesia); j510y (new zealand); j510m (latam)
also known as samsung galaxy j5 duos (2016) with dual-sim card slots"
gt-s7582,samsung,galaxy s duos 2 s7582,2013,12,2013.916667,130,4,also known as samsung galaxy trend plus s7580 with single-sim card slot
gt-i9300,samsung,i9300i galaxy s3 neo,2014,4,2014.25,300,4.8,gt-i9300
x9009,oppo,f1 plus,2016,3,2016.166667,350,5.5,also known as oppo r9
sm-e700,samsung,galaxy e7,2015,2,2015.083333,270,5.5,"versions: e7000, e7009, e700f, e700f/ds, e700h, e700h/dd, e700h/ds, e700m, e700m/ds
also known as samsung galaxy e7 duos with dual-sim card slots"
a11w,oppo,joy 3,2015,8,2015.583333,130,4.5,NA
a33f,oppo,a33,2015,11,2015.833333,240,5,NA
a51f,oppo,mirror 5,2015,8,2015.583333,220,5,NA
sm-g920,samsung,galaxy s6 (usa),2015,4,2015.25,500,5.1,"also known as samsung galaxy s6 g920curved screen version available - samsung galaxy s6 edge
versions: g920p (sprint), g920v (verizon), g920r (us cellular), g920w8 (canada)"
sm-j120,samsung,galaxy j1 (2016),2016,1,2016,130,4.5,"versions: j120f (global); galaxy express 3 j120a (at&t); j120h, j120m, j120m, j120t
also known as samsung galaxy j1 (2016) duos with dual-sim card slots"
zb551kl,asus,zenfone go zb551kl,2016,5,2016.333333,150,5.5,zb551kl
zc550kl,asus,zenfone max zc550kl (2016),2016,5,2016.333333,170,5.5,zc550kl
cam-l21,huawei,honor holly 3,2016,10,2016.75,140,5.5,also known as huawei y6 ii
sm-g355,samsung,galaxy core ii,2014,7,2014.5,130,4.5,"also known as samsung galaxy core ii dual sim g355h
samsung galaxy core 2 dual sim"
y28,vivo,y28,2014,12,2014.916667,100,4.7,y28
y31l,vivo,y31,2015,10,2015.75,130,4.7,NA
v3 max,vivo,v3max,2016,4,2016.25,300,5.5,
d820,lg,nexus 5x,2015,10,2015.75,270,5.2,NA
blade a110,zte,blade v8,2017,2,2017.083333,NA,5.2,NA
r831k,oppo,neo 3,2014,8,2014.583333,130,4.5,NA
sm-j105,samsung,galaxy j1 nxt,2016,2,2016.083333,90,4,also known as samsung galaxy j1 mini (2016)
lenny 3,wiko,lenny3,2016,5,2016.333333,NA,5,NA
r829,oppo,r1 r829t,2013,12,2013.916667,300,5,r829
sm-n7502,samsung,galaxy note 3 neo duos,2014,2,2014.083333,410,5.5,"also known as: 
- samsung galaxy note 3 neo dual sim n7502"
sm-t111,samsung,galaxy tab 3 lite 7.0 3g,2014,2,2014.083333,190,7,"tablet with support for gsm voice communication, sms, and mms
also known as samsung t111"
ze551ml,asus,zenfone 2 deluxe ze551ml,2015,9,2015.666667,500,5.5,ze551ml
sm-g361,samsung,galaxy core prime,2014,11,2014.833333,150,4.5,"available as samsung galaxy core prime value edition g361 with android v5.1
also known as samsung galaxy win 2 duos tv g360bt for brazil; samsung galaxy core prime duos with dual-sim card slots"
robby,wiko,robby,2016,5,2016.333333,NA,5.5,robby
lenny 2,wiko,lenny2,2015,9,2015.666667,NA,5,NA
z00ld,asus,zenfone 2 laser ze550kl,2015,9,2015.666667,220,5.5,NA
y35,vivo,y35,2015,7,2015.5,NA,5,y35
xshot,vivo,xshot,2014,NA,NA,NA,5.2,xshot
r1001,oppo,r1001 joy,2014,5,2014.333333,100,4,r1001
y15,vivo,y15s,2015,8,2015.583333,NA,4.5,y15
sm-p355,samsung,galaxy tab a 8.0,2015,5,2015.333333,210,8,versions: t350 (wi-fi); t355 (3g/lte)
eva-l19,huawei,p9,2016,4,2016.25,440,5.2,eva-l19
sm-t285,samsung,galaxy tab a 7.0 (2016),2016,3,2016.166667,130,7,versions: t280 (wi-fi only); t285 (4g/wi-fi)
z00ed,asus,zenfone 2 laser ze500kl,2015,8,2015.583333,210,5,NA
cun-l21,huawei,y5ii,2016,6,2016.416667,110,5,"also known as huawei y5 2, huawei honor 5, huawei honor play 5, huawei honor 5 play"
sm-g532,samsung,galaxy grand prime plus,2016,11,2016.833333,140,5,sm-g532
a7000-a,lenovo,vibe k4 note,2016,1,2016,190,5.5,"also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
blade d6 lite 3g,zte,blade d6,2015,8,2015.583333,NA,5,"also known as zte blade v6, zte blade x7"
r7kf,oppo,r7 lite,2015,10,2015.75,250,5,NA
sm-g928,samsung,galaxy s6 edge+,2015,8,2015.583333,530,5.7,"versions: g928f (europe); g928g (india); g928t (t-mobile); g928a (at&t); g928i (australia, new zealand, singapore)"
blade q3,zte,blade iii pro,2013,5,2013.333333,150,4,NA
gt-p3100,samsung,galaxy tab 2 7.0 p3100,2012,4,2012.25,150,7,"tablet with support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 2 (7.0)"
x9076,oppo,find 7a,2014,3,2014.166667,370,5.5,"also known as oppo find 7 fullhd, oppo find 7 fhd"
sm-t231,samsung,galaxy tab 4 7.0 3g,2014,5,2014.333333,240,7,"tablet with support for gsm voice communication, sms, and mms
also known as samsung t231, galaxy tab4 7.0 3g"
gt-i9200,samsung,galaxy mega 6.3 i9200,2013,6,2013.416667,300,6.3,also known as samsung sgh-i527 for at&t
zc500tg,asus,zenfone go zc500tg,2015,8,2015.583333,130,5,zc500tg
gt-s7270,samsung,galaxy ace 3,2013,7,2013.5,130,4,also known as samsung galaxy ace 3 3g s7270; samsung galaxy ace 3 lte s7275; samsung galaxy ace 3 s7272 duos with dual-sim card slots
sm-t211,samsung,galaxy tab 3 7.0 wifi,2013,7,2013.5,140,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
l110,blu,life view,2013,4,2013.25,230,5.7,l110
sm-g570,samsung,galaxy j5 prime,2016,10,2016.75,230,5,"also known as samsung galaxy on5 (2016).
versions: g570, g570f/ds (emea); g570y (australia)."
sm-t705,samsung,galaxy tab 2 7.0 i705,2012,8,2012.583333,200,7,"tablet with support for cdma, lte voice/data communication, sms, and mms
also known as samsung galaxy tab 2 (7.0) lte
for verizon"
nexus one,htc,google nexus one,2010,1,2010,120,3.7,NA
a601cg,asus,zenfone 6 a601cg,2014,5,2014.333333,200,6,a601cg
zd551kl,asus,zenfone selfie zd551kl,2015,8,2015.583333,280,5.5,zd551kl
t1-701u,huawei,mediapad t1 7.0,2015,3,2015.166667,100,7,NA
gt-i8262,samsung,galaxy core i8260,2013,6,2013.416667,160,4.3,available as samsung galaxy core i8262 duos with dual-sim card slots
sm-g313,samsung,galaxy ace 4 lte g313,2014,8,2014.583333,250,4,also known as samsung galaxy ace 4 lte g313f
y37,vivo,y37,2015,8,2015.583333,NA,5.5,y37
a2010,lenovo,a2010,2015,9,2015.666667,70,4.5,a2010
vie-l29,huawei,p9 plus,2016,5,2016.333333,600,5.5,vie-l29
y31,vivo,y31,2015,10,2015.75,130,4.7,y31
r7sf,oppo,r7s,2015,12,2015.916667,260,5.5,NA
gt-s7562,samsung,galaxy s duos s7562,2012,9,2012.666667,110,4,NA
a450cg,asus,zenfone 4 a450cg,2014,7,2014.5,100,4.5,a450cg
pulp,wiko,pulp fab,2015,10,2015.75,NA,5.5,pulp
gt-p5100,samsung,galaxy j5 (2016),2016,4,2016.25,250,5.2,"versions: j510fn (europe); j510f (hk, india, south africa, thailand); j510g (malaysia, indonesia); j510y (new zealand); j510m (latam)
also known as samsung galaxy j5 duos (2016) with dual-sim card slots"
r827,oppo,find 5 mini,2014,1,2014,240,4.7,r827
ze550ml,asus,zenfone 2 ze550ml,2015,3,2015.166667,250,5.5,ze550ml
a6000,lenovo,a6000 plus,2015,4,2015.25,110,5,a6000
x5pro d,vivo,x5pro,2015,6,2015.416667,NA,5.2,NA
sm-t110,samsung,galaxy tab 3 lite 7.0,2014,2,2014.083333,150,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung t110"
sm-g850,samsung,galaxy alpha (s801),2014,9,2014.666667,450,4.7,"versions:
g850a for at&t
g850w for canada
g8508s for east & southeast asia"
vns-l22,huawei,p9 lite,2016,4,2016.25,280,5.2,"also known as huawei g9 lite, honor 8 smart (india)"
lua-l21,huawei,y3ii,2016,6,2016.416667,80,4.5,also known as huawei y3 2
zc451cg,asus,zenfone c zc451cg,2015,2,2015.083333,90,4.5,zc451cg
t00i,asus,zenfone 4 a450cg,2014,7,2014.5,100,4.5,NA
r815t,oppo,r815t clover,2013,4,2013.25,100,4.3,r815t
a680,lenovo,a680,2014,5,2014.333333,110,5,a680
r8106,oppo,r5s,2015,8,2015.583333,200,5.2,NA
zc520tl,asus,zenfone 3 max zc520tl,2016,8,2016.583333,230,5.2,zc520tl
x3s,vivo,x3s,2014,NA,NA,NA,5,x3s
pulp fab 4g,wiko,pulp fab 4g,2015,11,2015.833333,NA,5.5,pulp fab 4g
i5-77,samsung,exhilarate i577,2012,6,2012.416667,240,4,"for at&t
also known as samsung sgh-i577"
y22,vivo,y22,2013,NA,NA,NA,4.5,y22
nexus 6,motorola,nexus 6,2014,11,2014.833333,420,5.96,also known as motorola nexus x; motorola moto x pro (china)
iris 456,lava,iris 465,2015,2,2015.083333,NA,4.5,NA
y27,vivo,y27,2014,12,2014.916667,NA,4.7,y27
sm-g750,samsung,galaxy mega 2,2014,9,2014.666667,340,6,"also known as samsung galaxy mega 2 lte
samsung galaxy mega 2 g750f
samsung galaxy mega 2 g7508
samsung galaxy mega 2 duos g7508q for china with dual-sim card slots"
rm-914,nokia,lumia 520,2013,4,2013.25,70,4,versions: nokia lumia 521 rm-917 (t-mobile)
desire 816,htc,desire 816 dual sim,2014,5,2014.333333,250,5.5,desire 816
gt-n7000,samsung,galaxy note n7000,2011,10,2011.75,270,5.3,gt-n7000
iris 505,lava,iris 505,2013,8,2013.583333,100,5,iris 505
a2020a40,lenovo,a2010,2015,9,2015.666667,70,4.5,NA
a859,lenovo,a859,2014,4,2014.25,140,5,a859
u707,oppo,find 7a,2014,3,2014.166667,370,5.5,"also known as oppo find 7 fullhd, oppo find 7 fhd"
p1ma40,lenovo,vibe p1m,2015,10,2015.75,110,5,NA
iris 405+,lava,iris 405+,2013,12,2013.916667,70,4,iris 405+
desire eye,htc,desire eye,2014,11,2014.833333,380,5.2,desire eye
fe170cg,asus,fonepad 7 (2014),2014,5,2014.333333,100,7,fe170cg
r831l,oppo,neo 5 (2015),2015,8,2015.583333,70,4.5,NA
h30-u10,huawei,honor 3c 4g,2014,6,2014.416667,200,5,also known as huawei honor 3c lte
blade l3,zte,blade l3 plus,2015,4,2015.25,100,5,blade l3
r7 plus f,oppo,r7 plus,2015,5,2015.333333,430,6,NA
gt-i9100,samsung,galaxy s ii 4g i9100m,2011,7,2011.5,260,4.3,for virgin mobile and bell in canada
blade c310,zte,blade v8,2017,2,2017.083333,NA,5.2,NA
ridge,wiko,ridge fab 4g,2015,3,2015.166667,NA,5.5,ridge
z520,acer,liquid z520,2015,4,2015.25,130,5,z520
n5206,oppo,n3,2015,1,2015,550,5.5,NA
a7010a48,lenovo,vibe k4 note,2016,1,2016,190,5.5,a7010a48
r821,oppo,r821t find muse,2013,NA,NA,290,4,r821
3006,oppo,mirror 3,2015,1,2015,270,4.7,NA
mini,opera,vivo 5 mini,2017,1,2017,NA,4,mini
gt-i8190,samsung,i8190 galaxy s iii mini,2012,11,2012.833333,130,4,"also known as samsung i8190 galaxy s3 mini, samsung galaxy s iii more
available as samsung i8190n galaxy s iii mini with nfc"
r831,oppo,neo 5 (2015),2015,8,2015.583333,70,4.5,NA
sm-n915,samsung,galaxy note edge,2014,11,2014.833333,650,5.6,"versions: n915fy (europe), n915a (at&t), n915t (t-mobile), n915k/n915l/n915s (korea), n915g (singapore, australia, spain), n915d (japan)"
d6503,sony,xperia z2a,2014,7,2014.5,330,5,also known as sony xperia z2a d6563
d802,lg,g2,2013,9,2013.666667,270,5.2,d802
one,htc,one a9s,2016,11,2016.833333,350,5,one
gt-i9505,samsung,i9505 galaxy s4,2013,4,2013.25,330,5,"also known as:
samsung galaxy s4 value edition i9515
samsung sgh-i337 for at&t
samsung i9505g galaxy s4 google play edition"
blade d6 lite 4g,zte,blade d6,2015,8,2015.583333,NA,5,"also known as zte blade v6, zte blade x7"
fe171cg,asus,fonepad 7 fe171cg,2015,1,2015,160,7,fe171cg
gt-p6800,samsung,p6800 galaxy tab 7.7,2011,12,2011.916667,280,7.7,"tablet with support for gsm voice communication, sms, and mms"
redmi note 3,xiaomi,redmi note 3,2016,2,2016.083333,220,5.5,redmi note 3
zb452kg,asus,zenfone go zb452kg,2016,4,2016.25,90,4.5,zb452kg
a7020a48,lenovo,vibe k4 note,2016,1,2016,190,5.5,"also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
y541-u02,huawei,honor bee,2015,5,2015.333333,70,4.5,also known as huawei y5c
blade s6,zte,blade s6 plus,2015,4,2015.25,280,5.5,blade s6
a1000,lenovo,a1000,2015,9,2015.666667,60,4,a1000
a536,lenovo,a536,2014,NA,NA,100,5,a536
z170cg,asus,zenpad c 7.0,2015,7,2015.5,140,7,z170cg
sm-t815,samsung,galaxy tab s2 9.7,2015,9,2015.666667,520,9.7,"versions (2016): t813n (wi-fi); t819n (3g/lte)
versions (2015): t810 (wi-fi); t815 (3g/lte)"
rio-l02,huawei,g8,2015,10,2015.75,340,5.5,also known as huawei gx8
t1-821l,huawei,mediapad t1 8.0,2014,9,2014.666667,150,8,also known as huawei honor tablet t1
y625-u43,huawei,y625,2015,4,2015.25,130,5,NA
r819,oppo,r819,2013,9,2013.666667,250,4.7,r819
e960,lg,nexus 4 e960,2012,11,2012.833333,250,4.7,"also known as lg nexus 4, lg mako"
rm-941,nokia,lumia 625,2013,8,2013.583333,160,4.7,NA
rm-1013,nokia,x2 dual sim,2014,7,2014.5,90,4.3,rm-1013
c6602,sony,xperia z,2013,2,2013.083333,270,5,c6602
e6853,sony,xperia z5 premium,2015,11,2015.833333,500,5.5,NA
nxt-l29,huawei,mate 8,2015,11,2015.833333,430,6,also known as huawei ascend mate8
e6653,sony,xperia z5 compact,2015,10,2015.75,410,4.6,NA
gt-i9190,samsung,i9190 galaxy s4 mini,2013,7,2013.5,230,4.3,also known as samsung i9190 galaxy s iv mini; samsung i9190 galaxy s4 mini duos with dual-sim card slots
d855,lg,g3,2014,6,2014.416667,300,5.5,d855
xplay3s,vivo,xplay3s,2013,NA,NA,NA,6,xplay3s
ze500cl,asus,zenfone 2 ze500cl,2015,3,2015.166667,180,5,ze500cl
e5653,sony,xperia m5,2015,9,2015.666667,270,5,e5653
d6653,sony,xperia z3+,2015,6,2015.416667,340,5.2,"also known as sony xperia z3 plus, xperia z4, sony e6553"
ze601kl,asus,zenfone 2 laser ze601kl,2015,12,2015.916667,300,6,ze601kl
rm-821,nokia,lumia 920,2012,11,2012.833333,210,4.5,NA
a5000,lenovo,a5000,2015,4,2015.25,150,5,a5000
c6902,sony,xperia z1,2013,9,2013.666667,330,5,c6902
e5553,sony,xperia c5 ultra,2015,8,2015.583333,310,6,e5553
h818,lg,g4 dual,2015,5,2015.333333,380,5.5,h818
sm-t311,samsung,galaxy tab 3 8.0,2013,7,2013.5,270,8,"tablet with support for gsm voice communication, sms, and mms (t311/t315)
tablet with no support for gsm voice communication, sms, and mms (t310)
also known as:
samsung galaxy tab 3 8.0 wi-fi
samsung galaxy tab 3 8.0 3g
samsung galaxy tab 3 8.0 lte"
ideatab a3000-h,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
rainbow,wiko,rainbow up 4g,2015,8,2015.583333,NA,5,rainbow
m2 note,meizu,m2 note,2015,6,2015.416667,200,5.5,m2 note
f3116,sony,xperia xa dual,2016,6,2016.416667,300,5,NA
ridge fab,wiko,ridge fab 4g,2015,3,2015.166667,NA,5.5,ridge fab
sm-c111,samsung,galaxy k zoom,2014,6,2014.416667,440,4.8,"versions:
samsung galaxy k zoom 3g c111 with 3g; samsung galaxy k zoom lte c115 with 3g & lte
also known as samsung galaxy s5 zoom"
blade v6,zte,blade d6,2015,8,2015.583333,NA,5,blade v6
scl-u23,huawei,honor holly 3,2016,10,2016.75,140,5.5,also known as huawei y6 ii
v815w,zte,blade g,2015,2,2015.083333,70,4,NA
z150,acer,liquid z530,2015,10,2015.75,150,5,NA
d690,lg,g3 stylus,2014,10,2014.75,240,5.5,d690
blade v0720,zte,blade v7 lite,2016,2,2016.083333,120,5,NA
gt-i8160,samsung,galaxy ace 2 i8160,2012,5,2012.333333,130,3.8,available as samsung galaxy ace ii x s7560m for bell canada
lumia 535,microsoft,lumia 535 dual sim,2014,12,2014.916667,80,5,lumia 535
ze500kg,asus,zenfone 2 laser ze500kg,2015,10,2015.75,200,5,ze500kg
shv-e250s,samsung,galaxy s6 edge,2015,4,2015.25,450,5.1,"also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
v830,zte,blade g lux,2015,2,2015.083333,100,4.5,NA
rm-885,nokia,lumia 720,2013,4,2013.25,200,4.3,rm-885
c5302,sony,xperia sp,2013,4,2013.25,180,4.6,c5302
gt-p6200,samsung,p6200 galaxy tab 7.0 plus,2011,10,2011.75,260,7,"also known as:
samsung galaxy tab 7.0n plus
samsung galaxy tab 7.0 plus n in germany
tablet with support for gsm voice communication, sms, and mms"
c2305,sony,xperia c,2013,7,2013.5,220,5,c2305
model 2,oneplus,2,2015,8,2015.583333,300,5.5,also known as oneplus two
s90-a,lenovo,s90 sisley,2014,11,2014.833333,260,5,also known as lenovo s90t sisley for china
x909,oppo,find 5 mini,2014,1,2014,240,4.7,also known as oppo find 5 mini r827
mi max,xiaomi,mi max,2016,5,2016.333333,260,6.44,mi max
rm-994,nokia,lumia 1320,2014,1,2014,210,6,rm-994
mi 5,xiaomi,mi 5s plus,2016,10,2016.75,370,5.7,mi 5
chc-u23,huawei,honor 4c,2015,4,2015.25,170,5,also known as huawei g play mini
z130,acer,liquid z330,2015,10,2015.75,110,4.5,NA
me371mg,asus,fonepad 7 fe171cg,2015,1,2015,160,7,"tablet with support for gsm voice communication, sms, and mms"
gra-ul00,huawei,p8 lite (2017),2017,1,2017,240,5.2,also known as huawei honor 8 lite
sm-g316,samsung,galaxy ace 4,2014,8,2014.583333,220,4,NA
hol-u19,huawei,honor holly 3,2016,10,2016.75,140,5.5,also known as huawei y6 ii
gt-p5200,samsung,i8520 galaxy beam,2010,7,2010.5,260,3.7,NA
a526,lenovo,a526,2014,6,2014.416667,70,4.5,a526
gt-i9070,samsung,i9070 galaxy s advance,2012,4,2012.25,150,4,also known as samsung galaxy s ii lite
u feel,wiko,u feel prime,2016,9,2016.666667,NA,5,u feel
z90a40,lenovo,vibe shot,2015,6,2015.416667,300,5,"also known as lenovo z90-7, lenovo vibe max"
f3216,sony,xperia xa ultra,2016,7,2016.5,380,6,f3216
z205,acer,liquid z200,2014,9,2014.666667,90,4,available as acer liquid z200 duo with dual-sim card slots
r1011,oppo,joy plus,2015,5,2015.333333,100,4,NA
xt1032,motorola,moto g4 play,2016,8,2016.583333,240,5,NA
p70-a,lenovo,p70,2015,2,2015.083333,240,5,NA
x5max,vivo,x5max+,2015,3,2015.166667,430,5.5,x5max
rm-892,nokia,lumia 925,2013,6,2013.416667,260,4.5,NA
v816w,zte,blade q pro,2015,NA,NA,NA,4.5,"also known as zte blade gf3, zte t320"
mi 4w,xiaomi,mi 4s,2016,3,2016.166667,300,5,NA
t00g,asus,zenfone 6 a600cg,2014,5,2014.333333,250,6,NA
gt-p3110,samsung,galaxy tab 2 7.0 p3110,2012,5,2012.333333,150,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 2 (7.0)"
gt-s5360,samsung,galaxy y tv s5367,2011,NA,NA,180,3.14,NA
rm-1075,microsoft,lumia 640 lte dual sim,2015,4,2015.25,150,5,NA
rm-846,nokia,lumia 620,2013,1,2013,120,3.8,NA
sm-g130,samsung,galaxy young 2,2014,10,2014.75,100,3.5,also known as samsung galaxy young 2 g130h
a328,lenovo,a328,2014,NA,NA,90,4.5,a328
z370cg,asus,zenpad 7.0 z370cg,2015,8,2015.583333,160,7,z370cg
magic,htc,magic,2009,5,2009.333333,90,3.2,magic
a5500-hv,lenovo,a8-50 a5500,2014,6,2014.416667,140,8,a5500-hv
fever,wiko,fever se,2016,5,2016.333333,NA,5.2,fever
sm-c101,samsung,galaxy s4 zoom,2013,7,2013.5,280,4.3,"also known as samsung galaxy s4 zoom c1010, c101"
u feel lite,wiko,u feel lite,2016,5,2016.333333,NA,5,u feel lite
g750-u10,huawei,honor 3x g750,2013,12,2013.916667,250,5.5,also known as huawei ascend g750
gt-p7500,samsung,galaxy note 3 neo duos,2014,2,2014.083333,410,5.5,"also known as: 
- samsung galaxy note 3 neo dual sim n7502"
a1000-g,lenovo,a1000,2015,9,2015.666667,60,4,NA
shv-e250k,samsung,galaxy s6 edge,2015,4,2015.25,450,5.1,"also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
a6020a46,lenovo,vibe k5 plus,2016,4,2016.25,140,5,a6020a46
a369i,lenovo,a369i,2013,NA,NA,70,4,a369i
fe375cg,asus,fonepad 7 fe375cg,2014,NA,NA,210,7,fe375cg
d335,lg,l bello,2014,9,2014.666667,100,5,d335
z500,acer,liquid z500,2014,NA,NA,150,5,z500
