MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
PN07120,50,one play edition,htc,360.0,2013.0,1.0,2013.083333333333,4.7,4.0,1920.0,1080.0,4.083333333333712,0,5,8,9,0,1,3,1,4,0,6,11,0,7,7,7,5,2,3,6,5,5,5,2
SM-A500,50,galaxy a5,samsung,290.0,2014.0,11.0,2014.916666666667,5.0,13.0,1280.0,720.0,2.2499999999997726,2,6,7,6,1,0,4,0,1,2,3,1,4,4,4,1,2,0,4,1,6,6,6,6
SM-N9000,49,galaxy note 3,samsung,420.0,2013.0,9.0,2013.75,5.7,13.0,1920.0,1080.0,3.4166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
Y560-U02,49,ascend y560,huawei,110.0,2015.0,6.0,2015.5,4.5,5.0,854.0,480.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,2,2,2,0
G730-T00,49,ascend,huawei,270.0,2013.0,4.0,2013.333333333333,5.5,5.0,960.0,540.0,3.8333333333337123,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,10,5,2,4,6,3,1,4,1
SM-P555Y,49,galaxy tab a 9.7 lte,samsung,370.0,2015.0,,2015.5,9.7,5.0,1024.0,768.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
SGH-I577,49,exhilarate,at&t,240.0,2012.0,6.0,2012.5,4.0,5.0,800.0,480.0,4.6666666666667425,4,7,3,3,0,1,3,1,3,7,5,3,0,0,8,8,3,6,1,3,3,1,4,1
H340,49,leon,lg,120.0,2015.0,4.0,2015.333333333333,4.5,5.0,854.0,480.0,1.8333333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
H60-L03,49,honor 6,huawei,210.0,2014.0,10.0,2014.833333333333,5.0,13.0,1920.0,1080.0,2.3333333333337123,3,4,1,1,1,0,4,0,1,2,3,4,4,4,4,1,6,0,4,1,2,2,2,0
H820,49,g5,at&t,430.0,2016.0,4.0,2016.333333333333,5.3,16.0,2560.0,1440.0,0.8333333333337123,6,3,9,6,4,4,0,4,5,4,1,8,4,4,4,1,2,1,7,7,0,3,3,3
YU5010A,48,yu yuphoria,yu,90.0,2015.0,5.0,2015.416666666667,5.0,8.0,1280.0,720.0,1.7499999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
LS775,48,stylus 2,lg,150.0,2016.0,4.0,2016.333333333333,5.7,13.0,1280.0,720.0,0.8333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
GL07S,48,stream x,huawei,210.0,2013.0,4.0,2013.333333333333,4.7,13.0,1280.0,720.0,3.8333333333337123,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,6,5,4,8,3,1,4,1
A7-30GC,48,tab 2,lenovo,90.0,2014.0,1.0,2014.083333333333,7.0,2.0,600.0,1024.0,3.0833333333337123,1,1,0,11,0,3,1,7,6,3,2,0,2,2,2,5,1,4,0,4,1,0,0,4
Y320-U01,48,ascend y320,huawei,100.0,2013.0,12.0,2014.0,4.0,2.0,800.0,480.0,3.1666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,2,2,2,0
Grand S II,48,grand s ii,zte,430.0,2014.0,4.0,2014.333333333333,5.5,13.0,1920.0,1080.0,2.8333333333337123,2,6,7,2,1,0,4,0,5,4,1,1,3,3,3,3,5,2,3,5,6,6,6,6
SM-N7500Q,48,galaxy note 3 neo,samsung,410.0,2014.0,2.0,2014.166666666667,5.5,8.0,1280.0,720.0,2.9999999999997726,0,0,5,5,6,6,6,6,4,0,6,6,5,5,0,2,5,2,3,5,6,6,6,6
X5V,48,x5v,vivo,430.0,2014.0,3.0,2014.25,5.0,13.0,1280.0,720.0,2.9166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
LT28i,48,xperia ion,sony,210.0,2012.0,6.0,2012.5,4.55,12.0,1280.0,720.0,4.6666666666667425,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,3,6,1,3,3,1,4,1
8079,47,8079,coolpad,360.0,2014.0,7.0,2014.583333333333,4.5,2.0,854.0,480.0,2.5833333333337123,0,0,5,5,6,6,6,6,2,5,6,6,0,7,7,7,5,2,3,5,6,6,6,6
HN3-U01,47,honor 3,huawei,200.0,2013.0,6.0,2013.5,4.7,13.1,1280.0,720.0,3.6666666666667425,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,6,5,4,8,3,1,4,1
CHE-TL00,47,glory play 4x,huawei,140.0,2014.0,5.0,2014.416666666667,5.5,13.0,1280.0,720.0,2.7499999999997726,2,6,4,4,1,0,4,0,1,2,3,4,4,4,4,1,6,5,4,1,2,2,2,0
LS991,47,g4,sprint,340.0,2015.0,4.0,2015.333333333333,5.5,16.0,2560.0,1440.0,1.8333333333337123,3,4,9,6,4,4,0,4,1,2,1,1,4,4,4,1,2,0,7,7,0,3,3,3
Y530-U051,47,ascend y530,huawei,100.0,2014.0,2.0,2014.166666666667,4.5,5.0,854.0,480.0,2.9999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
A109,47,a109,koobee,100.0,2014.0,8.0,2014.666666666667,5.5,5.0,960.0,540.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,1,4,5,1,1,1,0,6,7,2,9,2,2,2,0
M10,47,m10,haipad,260.0,2012.0,9.0,2012.75,9.97,0.3,600.0,1024.0,4.4166666666667425,4,5,8,9,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,8,8
X5L,47,x5l,vivo,430.0,2014.0,3.0,2014.25,5.0,13.0,1280.0,720.0,2.9166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
A350,47,canvas knight,micromax,240.0,2014.0,3.0,2014.25,5.0,16.0,1920.0,1080.0,2.9166666666667425,2,6,7,4,1,0,4,0,1,2,3,1,5,5,0,2,6,5,4,1,2,2,2,0
302SH,46,aquos phone xx,softbank,340.0,2013.0,7.0,2013.583333333333,5.2,16.0,1920.0,1080.0,3.5833333333337123,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,6,6,6,6,6
P650,46,canvas tab,micromax,170.0,2013.0,9.0,2013.75,8.0,5.0,768.0,1024.0,3.4166666666667425,1,1,0,11,0,3,1,7,6,3,2,7,2,2,2,4,1,4,8,2,1,0,0,4
Pioneer P2,46,pioneer p2,gionee,70.0,2013.0,,2013.5,4.0,5.0,800.0,480.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
S5.5,46,elife s5.5,gionee,270.0,2014.0,3.0,2014.25,5.0,13.0,1920.0,1080.0,2.9166666666667425,2,6,7,4,1,0,4,0,4,0,8,1,5,5,0,2,5,2,4,1,2,2,2,0
D6643,46,xperia z3,sony,340.0,2014.0,6.0,2014.5,5.2,20.7,1920.0,1080.0,2.6666666666667425,2,6,9,10,1,0,8,8,1,2,1,1,3,3,3,3,5,2,3,1,6,6,6,6
Y511-U10,46,ascend y511,huawei,130.0,2013.0,12.0,2014.0,4.5,3.15,854.0,480.0,3.1666666666667425,1,1,0,11,2,2,2,2,3,5,0,5,0,0,5,11,6,5,5,8,2,2,2,0
308,46,308,nex,130.0,2013.0,5.0,2013.416666666667,7.0,3.0,1280.0,720.0,3.7499999999997726,1,1,0,11,0,3,1,7,6,3,2,7,2,2,2,4,1,4,8,2,1,0,0,4
LT30a,46,xperia t,sony,350.0,2012.0,11.0,2012.916666666667,4.55,13.0,1280.0,720.0,4.249999999999773,2,6,7,4,1,0,4,0,4,0,8,1,3,3,3,3,5,2,3,6,5,5,5,2
LS740,46,volt,lg,130.0,2014.0,5.0,2014.416666666667,4.7,8.0,960.0,540.0,2.7499999999997726,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
D802T,45,g2,lg,270.0,2014.0,9.0,2014.75,5.2,13.0,1920.0,1080.0,2.4166666666667425,2,6,7,4,1,0,4,0,1,2,3,1,4,4,4,1,2,0,4,1,6,6,6,6
SM-G900AZ,45,galaxy s5,cricket,480.0,2014.0,4.0,2014.333333333333,5.1,16.0,1920.0,1080.0,2.8333333333337123,6,3,7,2,1,0,8,8,5,4,1,1,3,3,3,3,5,1,3,5,4,4,1,5
A1001,45,one,oneplus,100.0,2014.0,5.0,2014.416666666667,5.5,13.0,1920.0,1080.0,2.7499999999997726,2,6,4,4,1,0,4,0,1,2,3,4,4,4,4,1,6,5,4,9,2,2,2,0
S950,45,idol x,tcl,190.0,2014.0,9.0,2014.75,5.0,13.0,1920.0,1080.0,2.4166666666667425,3,4,1,4,1,0,4,0,1,2,3,4,4,4,4,1,6,5,4,1,2,2,2,0
SM-T357T,45,galaxy tab a 8,t-mobile,350.0,2015.0,6.0,2015.5,9.7,5.0,1024.0,768.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
SHW-M250L,45,galaxy s2,samsung,450.0,2011.0,4.0,2011.333333333333,4.3,8.0,800.0,480.0,5.833333333333712,4,5,8,9,0,1,3,1,4,0,5,11,0,7,7,7,5,2,3,6,5,5,5,2
SM-A310Y,45,galaxy a3,samsung,230.0,2015.0,12.0,2016.0,4.7,13.0,1280.0,720.0,1.1666666666667425,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,0,0,2,11,0,3,3,3
F1fw,45,f1fw,oppo,230.0,2016.0,1.0,2016.083333333333,5.0,13.0,1280.0,720.0,1.0833333333337123,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,11,0,3,3,3
GT-P7320,45,galaxy tab 8.9 lte,samsung,220.0,2012.0,,2012.5,8.880000000000003,3.0,800.0,1280.0,4.6666666666667425,4,7,3,3,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,8,8
ATH-TL00,44,honor 4a,huawei,310.0,2015.0,8.0,2015.666666666667,5.0,13.0,1920.0,1080.0,1.4999999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
T31,44,t31,panasonic,70.0,2013.0,10.0,2013.833333333333,4.0,3.15,800.0,480.0,3.3333333333337123,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,2,2,2,0
S8-50L,44,tab s8,lenovo,150.0,2014.0,9.0,2014.75,8.0,8.0,1200.0,1920.0,2.4166666666667425,5,2,6,7,5,5,5,5,0,6,9,0,2,2,2,4,1,3,0,4,1,0,0,4
Q1000,44,opus,xolo,170.0,2013.0,4.0,2013.333333333333,5.0,5.0,854.0,480.0,3.8333333333337123,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,4,8,3,1,4,1
SM-T377V,44,galaxy tab e 8.0,samsung,370.0,2015.0,,2015.5,8.0,5.0,1280.0,800.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
GT-I8550,44,galaxy win,samsung,170.0,2013.0,5.0,2013.416666666667,4.7,5.0,800.0,480.0,3.7499999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
SGH-I257,44,galaxy s4 mini,samsung,230.0,2013.0,7.0,2013.583333333333,4.3,8.0,960.0,540.0,3.5833333333337123,1,1,4,7,0,1,9,9,4,0,8,9,5,5,0,10,6,5,4,8,3,1,4,1
Lifetab E7316,44,lifetab e7316,medion,260.0,2014.0,9.0,2014.75,7.0,2.0,600.0,1024.0,2.4166666666667425,1,0,5,11,2,2,2,2,0,3,2,0,2,2,2,5,1,3,0,4,1,0,0,4
V10,44,v10,hiking,120.0,2015.0,5.0,2015.416666666667,5.0,13.0,1280.0,720.0,1.7499999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
K100,44,k3,lg,100.0,2016.0,9.0,2016.75,4.5,5.0,854.0,480.0,0.41666666666674246,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
MS500,44,optimus f6,lg,200.0,2013.0,9.0,2013.75,4.5,4.9,960.0,540.0,3.4166666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
A820,44,a820,lenovo,110.0,2013.0,,2013.5,4.5,8.0,960.0,540.0,3.6666666666667425,1,1,4,7,0,1,9,9,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
CHM-TL00,43,honor 4c,huawei,150.0,2015.0,11.0,2015.916666666667,5.0,13.0,1280.0,720.0,1.2499999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
E455,43,canvas nitro 4g,lg,120.0,2015.0,4.0,2015.333333333333,5.0,13.0,1280.0,720.0,1.8333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
SM-J320W8,43,galaxy j3 (2016),samsung,330.0,2016.0,1.0,2016.083333333333,5.0,8.0,1280.0,720.0,1.0833333333337123,5,0,5,5,6,6,6,6,1,1,4,6,1,1,1,0,2,0,7,7,0,3,3,3
D959,43,g flex,t-mobile,360.0,2013.0,11.0,2013.916666666667,6.0,13.0,1280.0,720.0,3.2499999999997726,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
SM-J320Y,43,galaxy j3,samsung,150.0,2016.0,1.0,2016.083333333333,5.0,8.0,1280.0,720.0,1.0833333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
Blade L6,43,blade l6,zte,80.0,2015.0,2.0,2015.166666666667,5.0,13.0,1280.0,720.0,1.9999999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,9,2,2,2,0
Elife E7 Mini,43,elife e7 mini,gionee,230.0,2014.0,4.0,2014.333333333333,4.7,13.0,1280.0,720.0,2.8333333333337123,2,6,4,4,1,0,4,0,1,2,8,1,5,5,0,2,6,5,4,1,2,2,2,0
Smart D71,43,smart d71,klipad,80.0,2014.0,,2014.5,7.0,2.0,600.0,1024.0,2.6666666666667425,1,1,0,11,2,2,2,2,6,3,2,0,2,2,2,5,1,4,0,4,1,0,0,4
Y320-U30,43,ascend y320,huawei,100.0,2013.0,12.0,2014.0,4.0,2.0,800.0,480.0,3.1666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,2,2,2,0
ST21a,43,xperia tipo,sony ericsson,80.0,2012.0,8.0,2012.666666666667,3.2,3.15,480.0,320.0,4.499999999999773,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
SM-G530P,43,galaxy grand prime,sprint,150.0,2014.0,10.0,2014.833333333333,5.0,8.0,960.0,540.0,2.3333333333337123,5,2,6,7,5,5,5,5,2,1,4,2,1,1,1,0,6,7,2,9,2,2,2,0
S550,43,s550,cubot,360.0,2015.0,7.0,2015.583333333333,5.5,13.0,1280.0,720.0,1.5833333333337123,3,4,1,6,4,4,0,4,1,2,1,4,4,4,4,1,2,0,7,7,0,3,3,3
LUA-L02,43,y3 ii,huawei,80.0,2016.0,6.0,2016.5,4.5,5.0,854.0,480.0,0.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
Diamond S,43,diamond s,archos,120.0,2015.0,10.0,2015.833333333333,5.0,16.0,1280.0,720.0,1.3333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
SM-G850W,43,galaxy s5 active,samsung,450.0,2014.0,9.0,2014.75,5.1,16.0,1920.0,1080.0,2.4166666666667425,6,3,7,2,1,0,8,8,5,4,1,1,3,3,3,3,5,1,3,5,6,6,6,6
X9070,43,find 7,oppo,370.0,2014.0,3.0,2014.25,5.5,13.0,2560.0,1440.0,2.9166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
N9000W,42,n9000w,m-horse,160.0,2014.0,11.0,2014.916666666667,5.5,2.0,854.0,480.0,2.2499999999997726,1,1,0,11,2,2,2,2,2,1,4,5,1,1,1,0,0,7,4,1,0,7,7,7
VNS-DL00,42,g9 lite,huawei,280.0,2016.0,4.0,2016.333333333333,5.2,13.0,1920.0,1080.0,0.8333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
N5207,42,n3,oppo,550.0,2014.0,1.0,2014.083333333333,5.5,16.0,1920.0,1080.0,3.0833333333337123,6,3,2,2,3,7,7,3,5,4,1,8,3,3,3,3,4,1,3,5,4,4,1,5
X200,42,x200,xgody,120.0,2015.0,6.0,2015.5,5.0,5.0,960.0,540.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
T375,42,cookie smart,lg,70.0,2012.0,,2012.5,3.2,2.0,320.0,240.0,4.6666666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
NX503A,42,nubia z5s,zte,210.0,2013.0,8.0,2013.666666666667,5.0,13.0,1920.0,1080.0,3.4999999999997726,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,6,5,4,1,3,1,4,1
LU5400,42,prada 3.0,lg,210.0,2012.0,1.0,2012.083333333333,4.3,8.0,800.0,480.0,5.083333333333712,4,7,3,3,0,1,3,1,3,7,5,9,5,5,0,10,3,6,1,3,3,1,9,9
Blade X9,42,blade x9,zte,170.0,2015.0,12.0,2016.0,5.5,13.0,1920.0,1080.0,1.1666666666667425,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
Lumia 735 LTE,41,lumia 735 lte,nokia,220.0,2014.0,9.0,2014.75,4.7,6.7,1280.0,720.0,2.4166666666667425,5,0,5,7,5,5,5,5,2,1,4,5,1,1,1,0,6,5,4,1,0,3,3,3
A369,41,a369,lenovo,70.0,2013.0,,2013.5,4.0,2.0,800.0,480.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
H340AR,41,leon lte,lg,120.0,2015.0,4.0,2015.333333333333,4.5,5.0,854.0,480.0,1.8333333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
SM-G3812,41,galaxy win pro,samsung,200.0,2013.0,3.0,2013.25,4.5,5.0,960.0,540.0,3.9166666666667425,1,1,0,3,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
SM-G920AZ,41,galaxy s6,cricket,500.0,2015.0,4.0,2015.333333333333,5.1,16.0,2560.0,1440.0,1.8333333333337123,6,3,2,8,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,4,4,1,5
H634,41,g stylo,cricket,180.0,2015.0,5.0,2015.416666666667,5.7,8.0,1280.0,720.0,1.7499999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
VS995,41,v20,verizon,640.0,2016.0,10.0,2016.833333333333,5.7,16.0,2560.0,1440.0,0.3333333333337123,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
MB860,41,atrix 4g,motorola,190.0,2011.0,2.0,2011.166666666667,4.0,5.0,960.0,540.0,5.999999999999773,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
A114,41,canvas 2.2,micromax,190.0,2013.0,5.0,2013.416666666667,5.0,8.0,960.0,540.0,3.7499999999997726,1,1,4,7,0,1,9,9,4,0,8,9,5,5,0,10,6,5,4,8,3,1,4,1
D160,40,l40,lg,80.0,2014.0,4.0,2014.333333333333,3.5,3.15,480.0,320.0,2.8333333333337123,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
A902,40,a902,amaway,200.0,2015.0,8.0,2015.666666666667,9.0,2.0,480.0,800.0,1.4999999999997726,5,2,6,0,2,2,2,2,0,6,9,10,2,2,2,5,1,3,6,10,1,0,0,4
NX403A,40,nubia z5s mini,zte,230.0,2013.0,12.0,2014.0,4.7,13.0,1280.0,720.0,3.1666666666667425,2,6,4,4,1,0,4,0,4,0,8,1,5,5,0,2,6,5,4,1,2,2,2,0
GT-S6500,40,galaxy mini 2,samsung,90.0,2012.0,3.0,2012.25,3.39,3.15,480.0,320.0,4.9166666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
D505,40,optimus f6,lg,200.0,2013.0,9.0,2013.75,4.5,5.0,960.0,540.0,3.4166666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
Iris X9,39,iris x9,lava,80.0,2015.0,,2015.5,5.5,8.0,1280.0,720.0,1.6666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
D390N,39,f60,lg,100.0,2014.0,10.0,2014.833333333333,4.5,5.0,800.0,480.0,2.3333333333337123,5,2,6,11,2,2,2,2,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
Iris 550Q,39,iris 550q,lava,150.0,2014.0,4.0,2014.333333333333,5.5,8.0,1280.0,720.0,2.8333333333337123,1,1,4,7,5,5,5,5,2,1,4,5,1,1,1,0,6,5,4,1,2,2,2,0
IS12S,39,xperia acro hd/soi12,sony ericsson,280.0,2012.0,,2012.5,4.29,12.0,1280.0,720.0,4.6666666666667425,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,3,6,1,6,5,5,5,2
6030A,39,one touch idol,alcatel,100.0,2013.0,10.0,2013.833333333333,4.7,8.0,960.0,540.0,3.3333333333337123,1,1,4,7,0,1,9,9,2,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
Q1010i,39,q1010i,xolo,170.0,2014.0,4.0,2014.333333333333,5.0,8.0,1280.0,720.0,2.8333333333337123,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,4,1,2,2,2,0
Iris 705,39,iris 705,lava,80.0,2016.0,,2016.5,4.5,8.0,960.0,540.0,0.6666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
306SH,39,aquos crystal,softbank,220.0,2014.0,8.0,2014.666666666667,5.0,8.0,1280.0,720.0,2.4999999999997726,5,0,4,7,5,5,5,5,2,1,4,6,1,1,1,0,6,5,4,1,2,2,2,0
Studio 5.0 C HD,39,studio 5.0 c hd,blu,110.0,2015.0,8.0,2015.666666666667,5.0,8.0,1280.0,720.0,1.4999999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
Studio Energy,39,studio energy,blu,140.0,2015.0,1.0,2015.083333333333,5.0,8.0,1280.0,720.0,2.0833333333337123,5,2,6,7,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
VK810,39,g pad 8.3,verizon,220.0,2014.0,3.0,2014.25,8.3,5.0,1920.0,1200.0,2.9166666666667425,1,1,0,7,2,2,2,2,0,6,9,0,2,2,2,4,1,3,0,4,1,0,0,4
NX508J,39,nubia z9,zte,460.0,2015.0,4.0,2015.333333333333,5.1,16.0,1920.0,1080.0,1.8333333333337123,6,3,9,2,3,7,7,3,5,4,1,8,3,3,3,3,4,1,9,5,0,3,3,3
520 S HD,39,520 s hd,brondi,70.0,2016.0,4.0,2016.333333333333,5.0,8.0,1280.0,720.0,0.8333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
S898t+,39,s8,lenovo,230.0,2014.0,1.0,2014.083333333333,5.3,5.0,1280.0,720.0,3.0833333333337123,1,1,0,7,2,2,2,2,2,5,0,6,0,0,5,11,6,5,4,1,6,6,6,6
SGH-T769,39,galaxy s blaze 4g,samsung,140.0,2012.0,3.0,2012.25,3.97,5.0,800.0,480.0,4.9166666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
Elite 4,38,elite 4,leagoo,610.0,2015.0,3.0,2015.25,5.0,8.0,960.0,540.0,1.9166666666667425,6,3,2,5,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
Liyang Z9,38,liyang z9,china mobile,460.0,2012.0,4.0,2012.333333333333,3.5,2.0,480.0,320.0,4.833333333333712,0,5,8,9,0,1,3,1,3,7,6,11,0,7,7,7,5,2,3,6,5,5,5,2
D723,38,g3 mini,lg,210.0,2014.0,8.0,2014.666666666667,5.0,8.0,1280.0,720.0,2.4999999999997726,5,0,4,7,5,5,5,5,2,1,4,2,1,1,1,0,6,5,4,1,2,2,2,0
Vivo Air LTE,38,vivo air lte,blu,190.0,2015.0,9.0,2015.75,4.8,8.0,1280.0,720.0,1.4166666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,3,3,3
G510-0200,38,ascend g510,huawei,100.0,2013.0,4.0,2013.333333333333,4.5,5.0,854.0,480.0,3.8333333333337123,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
Blade A462,38,blade a462,zte,80.0,2016.0,7.0,2016.583333333333,5.0,5.0,854.0,480.0,0.5833333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
G700-U20,38,ascend g700,huawei,190.0,2013.0,,2013.5,5.0,8.0,1280.0,720.0,3.6666666666667425,1,1,4,7,0,1,9,9,4,0,8,9,5,5,0,10,6,5,4,8,3,1,4,1
GT-I9060M,38,galaxy grand neo,samsung,130.0,2014.0,2.0,2014.166666666667,5.0,5.0,800.0,480.0,2.9999999999997726,1,1,0,11,0,3,1,7,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
Iris 351,37,iris 351,lava,80.0,2013.0,,2013.5,4.99,2.0,800.0,480.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
One E9s Dual Sim,37,one e9s dual sim,htc,350.0,2015.0,11.0,2015.916666666667,5.5,13.0,1280.0,720.0,1.2499999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
G750-T20,37,honor 3x pro,huawei,250.0,2013.0,12.0,2014.0,5.5,13.0,1920.0,1080.0,3.1666666666667425,2,6,7,4,1,0,4,0,4,0,8,1,4,4,4,1,5,2,4,1,6,6,6,6
