MODEL, REACH, MARKETING_NAME, VENDOR, PRICE_RELEASED, YEAR_RELEASED, MONTH_RELEASED, TIME_RELEASED, DIAGONAL_SCREEN_SIZE, CAMERA_PIXELS, DISPLAY_HEIGHT, DISPLAY_WIDTH
H940,14,one,cherry mobile,NULL,2015,NULL,2015.5,4.5,5,854,480
M799,14,m799,unknown,NULL,2011,NULL,2011.5,7,0.3,480,800
D2406,14,xperia m2 aqua,sony,200,2014,NULL,2014.5,4.8,8,960,540
97 Neon,14,97 neon,archos,NULL,2014,NULL,2014.5,9.699999999999999,2,768,1024
U8950,14,ascend g600,huawei,100,2012,9,2012.75,4.5,NULL,960,540
Q705U,14,q705u,zte,NULL,2014,NULL,2014.5,5.7,5,1280,720
OT-4015D,14,one touch pop c1 dual,alcatel,NULL,2014,NULL,2014.5,3.5,1.9,480,320
U5 Wind,14,u5 wind,unistar,NULL,2013,NULL,2013.5,5,5,1280,720
HWA580,14,hwa580,hugiga,NULL,2012,NULL,2012.5,5.1,8,800,480
D690N,14,g3 stylus,lg,240,2014,10,2014.833333333333,5.5,13,960,540
P999,14,g2x,t-mobile,NULL,2009,NULL,2009.5,4,8,800,480
Skypad Alpha 2,14,skypad alpha 2,skytex,730,2012,10,2012.833333333333,7,NULL,800,480
N808,14,n808,amoi,NULL,2012,NULL,2012.5,4.3,NULL,800,480
Ultra Plus,14,ultra plus,blackview,850,2016,3,2016.25,5.5,13,1280,720
SM-T817A,14,galaxy tab s2,at&t,NULL,2015,NULL,2015.5,9.699999999999999,8,1536,2048
L-02D,14,prada,lg,210,2011,1,2011.083333333333,4.3,8,800,480
F451s,14,f451s,fly,NULL,2013,NULL,2013.5,4.5,8,960,540
SM-T817P,14,galaxy tab s2,sprint,NULL,2015,NULL,2015.5,9.699999999999999,8,1536,2048
SM-G730V,14,galaxy s3 mini,samsung,370,2013,NULL,2013.5,4,5,800,480
A1P,14,axon pro,zte,350,2015,8,2015.666666666667,5.8,13,2560,1440
VS425PP,14,optimus zone 3,verizon,NULL,2016,NULL,2016.5,4.5,8,854,480
X6-00,14,x6-00,nokia,130,2009,2,2009.166666666667,3.2,5,640,360
VNS-L53,14,p9 lite,huawei,280,2016,4,2016.333333333333,5.2,13,1080,1920
Eluga S,14,eluga s,panasonic,270,2014,10,2014.833333333333,5,8,1280,720
E8QP,14,jay from ee,zte,250,2016,2,2016.166666666667,7.85,5,1024,768
V8403,14,v8403,zte,NULL,2012,NULL,2012.5,3.61,NULL,480,320
Dash X,14,dash x,blu,NULL,2015,3,2015.25,5,8,1280,720
RM-1072,14,lumia 640 lte,microsoft,150,2015,4,2015.333333333333,5,8,1280,720
SM-W2014,14,sm-w2014,samsung,330,2013,1,2013.083333333333,3.7,13,800,480
Star 4.5,14,star 4.5,blu,NULL,2014,NULL,2014.5,4.5,5,854,480
E270BSA,14,sero 7 lt,hisense,NULL,2013,NULL,2013.5,7,0.3,1024,600
Y29L,14,y29l,vivo,100,2015,12,2016,5,13,1280,720
Lifetab E10320,14,lifetab e10320,medion,260,2014,9,2014.75,10.1,4.9,800,1280
H525,14,g4c,lg,160,2015,6,2015.5,5,8,1280,720
Smart E4,14,smart e4,efox,80,2014,NULL,2014.5,5,13,1280,720
SU660,14,su660,lg,150,2009,1,2009.083333333333,4,8,800,480
BNRV200,14,nook color,barnes and noble,NULL,2010,NULL,2010.5,7,NULL,1024,600
T8585,14,hd2,htc,140,2009,11,2009.916666666667,4.3,5,800,480
L39h,14,xperia z1,sony,330,2013,9,2013.75,5,20.7,1920,1080
U8800,14,impulse 4g,huawei,100,2011,4,2011.333333333333,3.82,NULL,800,480
